name,field_media_description,field_media_file,nothing,Keywords,Audience,"Document Type"
"FEMA L-781, Building Science for Disaster-Resistant Communities: Hurricane Hazard Publications","This brochure provides readers with a quick summary of publications that will help them prepare for and mitigate against hurricane hazards. The Building Science Branch develops and produces technical guidance and tools focused on fostering a disaster-resistant built environment. Located within FEMA’s Federal Insurance and Mitigation Administration’s (FIMA’s) Risk Reduction Division, the Building Science Branch supports the directorate’s mission to reduce risk to life and property by providing state-of-the-art technical hazard mitigation solutions for buildings.","Download File","FEMA L-781, Building Science for Disaster-Resistant Communities: Hurricane Hazard Publications
    This brochure provides readers with a quick summary of publications that will help them prepare for and mitigate against hurricane hazards. The Building Science Branch develops and produces technical guidance and tools focused on fostering a disaster-resistant built environment. Located within FEMA’s Federal Insurance and Mitigation Administration’s (FIMA’s) Risk Reduction Division, the Building Science Branch supports the directorate’s mission to reduce risk to life and property by providing state-of-the-art technical hazard mitigation solutions for buildings.
    
      
        Nov 4, 2021

      Download File","Building Science, Hurricane","Building Professionals & Engineers",Brochure
"FEMA P-1050-2, NEHRP Provisions Volume II: Part 3 Resource Papers","The 2015 NEHRP Provisions marks the ninth edition of this technical resource document since its first publication in 1985. FEMA is proud to sponsor this cycle of the NEHRP Provisions update, and to publish the new edition for use by national codes and standards organizations and the general public. The 2015 NEHRP Provisions are a new knowledge-based resource document intended to translate research results into engineering design practice. The new changes in the 2015 NEHRP Provisions have incorporated extensive results and findings from recent research projects, problem-focused studies, and post-earthquake investigation reports conducted by various professional organizations, research institutes, universities, material industries, and the NEHRP agencies. Similar to the previous edition, the 2015 NEHRP Provisions have adopted by reference the American Structural Engineers Association (ASCE) / Structural Engineering Institute (SEI) standard ASCE/SEI 7-10: Minimum Design Loads for New Buildings and Other Structures as the baseline.

Part III contains resource papers covering new concepts and methods for trial use and other supporting materials for design professionals. FEMA P-1050 DVD is available for order from the FEMA Distribution Center, 1-800-480-2520. The DVD includes additional design standard and building code-related resources.","Download File","FEMA P-1050-2, NEHRP Provisions Volume II: Part 3 Resource Papers
    The 2015 NEHRP Provisions marks the ninth edition of this technical resource document since its first publication in 1985. FEMA is proud to sponsor this cycle of the NEHRP Provisions update, and to publish the new edition for use by national codes and standards organizations and the general public. The 2015 NEHRP Provisions are a new knowledge-based resource document intended to translate research results into engineering design practice. The new changes in the 2015 NEHRP Provisions have incorporated extensive results and findings from recent research projects, problem-focused studies, and post-earthquake investigation reports conducted by various professional organizations, research institutes, universities, material industries, and the NEHRP agencies. Similar to the previous edition, the 2015 NEHRP Provisions have adopted by reference the American Structural Engineers Association (ASCE) / Structural Engineering Institute (SEI) standard ASCE/SEI 7-10: Minimum Design Loads for New Buildings and Other Structures as the baseline.

Part III contains resource papers covering new concepts and methods for trial use and other supporting materials for design professionals. FEMA P-1050 DVD is available for order from the FEMA Distribution Center, 1-800-480-2520. The DVD includes additional design standard and building code-related resources.

    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-1051, 2015 NEHRP Provisions: Design Examples","The 2015 NEHRP Provisions marks the ninth edition of this technical resource document since its first publication in 1985. FEMA is proud to sponsor this cycle of the NEHRP Provisions update and publish the new edition for national codes and standards organizations and the general public. The 2015 NEHRP Provisions are a new knowledge-based resource document intended to translate research results into engineering design practice. The new changes in the 2015 NEHRP Provisions have incorporated extensive results and findings from recent research projects, problem-focused studies, and post-earthquake investigation reports conducted by various professional organizations, research institutes, universities, material industries, and the NEHRP agencies. Similar to the previous edition, the 2015 NEHRP Provisions have adopted by reference the American Structural Engineers Association (ASCE) / Structural Engineering Institute (SEI) standard ASCE/SEI 7-10: Minimum Design Loads for New Buildings and Other Structures as the baseline.","Download File","FEMA P-1051, 2015 NEHRP Provisions: Design Examples
    The 2015 NEHRP Provisions marks the ninth edition of this technical resource document since its first publication in 1985. FEMA is proud to sponsor this cycle of the NEHRP Provisions update and publish the new edition for national codes and standards organizations and the general public. The 2015 NEHRP Provisions are a new knowledge-based resource document intended to translate research results into engineering design practice. The new changes in the 2015 NEHRP Provisions have incorporated extensive results and findings from recent research projects, problem-focused studies, and post-earthquake investigation reports conducted by various professional organizations, research institutes, universities, material industries, and the NEHRP agencies. Similar to the previous edition, the 2015 NEHRP Provisions have adopted by reference the American Structural Engineers Association (ASCE) / Structural Engineering Institute (SEI) standard ASCE/SEI 7-10: Minimum Design Loads for New Buildings and Other Structures as the baseline.
    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-1051B,  NEHRP Provisions: Design Examples Flow Charts","The 2015 NEHRP Provisions marks the ninth edition of this technical resource document since its first publication in 1985. FEMA is proud to sponsor this cycle of the NEHRP Provisions update, and to publish the new edition for use by national codes and standards organizations and the general public. The 2015 NEHRP Provisions are a new knowledge-based resource document intended to translate research results into engineering design practice. The new changes in the 2015 NEHRP Provisions have incorporated extensive results and findings from recent research projects, problem-focused studies, and post-earthquake investigation reports conducted by various professional organizations, research institutes, universities, material industries, and the NEHRP agencies. Similar to the previous edition, the 2015 NEHRP Provisions have adopted by reference the American Structural Engineers Association (ASCE) / Structural Engineering Institute (SEI) standard ASCE/SEI 7-10: Minimum Design Loads for New Buildings and Other Structures as the baseline.

These flow charts are part of the design examples. FEMA P-1051 CD is available for order from the FEMA Distribution Center, 1-800-480-2520.","Download File","FEMA P-1051B,  NEHRP Provisions: Design Examples Flow Charts
    The 2015 NEHRP Provisions marks the ninth edition of this technical resource document since its first publication in 1985. FEMA is proud to sponsor this cycle of the NEHRP Provisions update, and to publish the new edition for use by national codes and standards organizations and the general public. The 2015 NEHRP Provisions are a new knowledge-based resource document intended to translate research results into engineering design practice. The new changes in the 2015 NEHRP Provisions have incorporated extensive results and findings from recent research projects, problem-focused studies, and post-earthquake investigation reports conducted by various professional organizations, research institutes, universities, material industries, and the NEHRP agencies. Similar to the previous edition, the 2015 NEHRP Provisions have adopted by reference the American Structural Engineers Association (ASCE) / Structural Engineering Institute (SEI) standard ASCE/SEI 7-10: Minimum Design Loads for New Buildings and Other Structures as the baseline.

These flow charts are part of the design examples. FEMA P-1051 CD is available for order from the FEMA Distribution Center, 1-800-480-2520.

    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"Hurricane Irma in Florida Recovery Advisories (1-3)","Hurricanes Harvey, Irma, and Maria in Texas, Florida, Puerto Rico, and the United States Virgin Islands (USVI) caused severe flooding and high winds, resulting in damage to houses, critical facilities, schools, and other buildings. The advisories below provide information to assist with rebuilding decisions in the aftermath of the 2017 hurricanes as well as any future flooding or high wind events. This guidance is intended for homeowners, designers, building owners, and officials, architects, engineers, and contractors; however, it can provide helpful information for other stakeholders as well.","Download File","Hurricane Irma in Florida Recovery Advisories (1-3)
    Hurricanes Harvey, Irma, and Maria in Texas, Florida, Puerto Rico, and the United States Virgin Islands (USVI) caused severe flooding and high winds, resulting in damage to houses, critical facilities, schools, and other buildings. The advisories below provide information to assist with rebuilding decisions in the aftermath of the 2017 hurricanes as well as any future flooding or high wind events. This guidance is intended for homeowners, designers, building owners, and officials, architects, engineers, and contractors; however, it can provide helpful information for other stakeholders as well.
    
      
        Nov 9, 2021

      Download File","Building Science, Mitigation Assessment Team","Building Professionals & Engineers","MAT Product"
"2007 Tornadoes in Florida Recovery Advisories (1-5)","The following 2007 Recovery Advisories provide information about tornado risk, sheltering from tornadoes, and improving manufactured homes against damage from high winds.","Download File","2007 Tornadoes in Florida Recovery Advisories (1-5)
    The following 2007 Recovery Advisories provide information about tornado risk, sheltering from tornadoes, and improving manufactured homes against damage from high winds. 
    
      
        Jan 26, 2024

      Download File","2007 Tornadoes in Florida, Building Science, Mitigation Assessment Team","Building Professionals & Engineers","MAT Product"
"2007 Tornadoes in Kansas Recovery Advisories (1-3)","The purpose of these three Tornado Recovery Advisory (RAs) is to provide information about tornado risks and hazards, storm shelter design criteria, and residential sheltering from tornadoes.","Download File","2007 Tornadoes in Kansas Recovery Advisories (1-3)
    The purpose of these three Tornado Recovery Advisory (RAs) is to provide information about tornado risks and hazards, storm shelter design criteria, and residential sheltering from tornadoes. 
    
      
        Jan 26, 2024

      Download File","2007 Tornadoes in Kansas, Building Science, Mitigation Assessment Team","Building Professionals & Engineers","MAT Product"
"2008 Midwest Floods Recovery Advisories (1-2)","These three Recovery Advisories are part of the Mitigation Assessment Team (MAT) report for Midwest Floods of 2008 in Iowa and Wisconsin. They deal with design considerations for improving critical facility functionality during flood events, and considerations for rebuilding your flood-damaged house.","Download File","2008 Midwest Floods Recovery Advisories (1-2)
    These three Recovery Advisories are part of the Mitigation Assessment Team (MAT) report for Midwest Floods of 2008 in Iowa and Wisconsin. They deal with design considerations for improving critical facility functionality during flood events, and considerations for rebuilding your flood-damaged house.
    
      
        Jan 26, 2024

      Download File","Midwest Floods of 2008 in Iowa, Midwest Floods of 2008 in Wisconsin, Building Science, Mitigation Assessment Team","Building Professionals & Engineers","MAT Product"
"2011 Safe Room Tornado Recovery Advisories (1-8)","Tornado Recovery Advisory","Download File","2011 Safe Room Tornado Recovery Advisories (1-8)
    Tornado Recovery Advisory
    
      
        Sep 2, 2021

      Download File","Building Science, Mitigation Assessment Team","Building Professionals & Engineers","MAT Product"
"2012 Uniform Codes by IAPMO","This document contains Flood Resistant Provisions of the 2012 editions of codes published by the International Association of Plumbing and Mechanical Officers (IAPMO):  the Uniform Mechanical Code; Uniform Plumbing Code, Uniform Swimming Pool, Spa and Hot Tub Code; and Uniform Solar Energy Code.","Download File","2012 Uniform Codes by IAPMO
    This document contains Flood Resistant Provisions of the 2012 editions of codes published by the International Association of Plumbing and Mechanical Officers (IAPMO):  the Uniform Mechanical Code; Uniform Plumbing Code, Uniform Swimming Pool, Spa and Hot Tub Code; and Uniform Solar Energy Code.
    
      
        May 5, 2021

      Download File","Building Science, Flood","Community Planning & Policy",Code
